player_id,original_name,normalized_search_name,selected_page_title,wikipedia_url,raw_position,position_wiki,status,manual_review_reason,candidate_titles,first_position_rule_applied,match_method,name_source,birth_year_wiki,birth_evidence,identity_accept_reason
PAWM,"ACIK, TUTKU",Tutku Acik,Tutku Açık,https://en.wikipedia.org/wiki/Tutku_Açık,Head coach,,position_text_unrecognized,Could not map position text to a canonical position: 'Head coach',Tutku Açık; Galatasaray S.K. (men's basketball); 2009–10 Eurocup Basketball; Turkish Basketball Super League All-Star Game; Trabzonspor B.K.,False,direct,bio_name,,unavailable,
PLGC,"ACKER, ALEX",Alex Acker,Alex Acker,https://en.wikipedia.org/wiki/Alex_Acker,Shooting guard,Shooting Guard,matched,,Alex Acker; Arka Gdynia (basketball); Olympiacos B.C.; Limoges CSP; 2011–12 Dutch Basketball League,False,direct,bio_name,1983.0,exact_match,exact_birth_year
P009847,"ACY, QUINCY",Quincy Acy,Quincy Acy,https://en.wikipedia.org/wiki/Quincy_Acy,Power forward,Power Forward,matched,,Quincy Acy; 2019–20 EuroLeague; Olympiacos B.C.; 2022 EuroLeague Final Four; 2015–16 New York Knicks season,False,direct,bio_name,1990.0,exact_match,exact_birth_year
P005795,"ADAMS, DARIUS",Darius Adams,Darius Adams,https://en.wikipedia.org/wiki/Darius_Adams,Point guard,Point Guard,matched,,Darius Adams; Basketball Champions League Asia; Saski Baskonia; 2016 Euroleague Final Four; EuroLeague MVP of the Round,False,direct,bio_name,1989.0,exact_match,exact_birth_year
P012056,"ADAMS, JALEN",Jalen Adams,Jalen Adams,https://en.wikipedia.org/wiki/Jalen_Adams,Point guard / shooting guard,Point Guard,matched,,Jalen Adams; Luka Dončić; R. J. Cole; Aleksandar Vezenkov; Saski Baskonia,True,direct,bio_name,1995.0,exact_match,exact_birth_year
P011963,"ADAMS, JAYLEN",Jaylen Adams,Jaylen Adams,https://en.wikipedia.org/wiki/Jaylen_Adams,Point guard,Point Guard,matched,,Jaylen Adams; Jaylen Nowell; Jaylen Hoard; Josh Adams (basketball); KK Crvena zvezda; EuroLeague MVP of the Round,False,direct,bio_name,1996.0,exact_match,exact_birth_year
P007872,"ADAMS, JOSH",Josh Adams,Josh Adams (basketball),https://en.wikipedia.org/wiki/Josh_Adams_(basketball),Point guard / shooting guard,Point Guard,matched,,Josh Adams; Josh Adams (basketball); Luka Dončić; EuroLeague MVP of the Round; 2025–26 Chicago Bulls season; Anadolu Efes S.K.,True,search,bio_name,1993.0,exact_match,exact_birth_year
P002532,"ADJAGBA, ULYSSE",Ulysse Adjagba,Ulysse Adjagba,https://en.wikipedia.org/wiki/Ulysse_Adjagba,Point guard,Point Guard,matched,,Ulysse Adjagba; Rosters of the top basketball teams in European club competitions,False,direct,bio_name,1993.0,exact_match,exact_birth_year
PJIX,"AGADAKOS, LAZAROS",Lazaros Agadakos,Lazaros Agadakos,https://en.wikipedia.org/wiki/Lazaros_Agadakos,Power forward / center,Power Forward,matched,,Lazaros Agadakos; PAOK BC; Aris B.C.; Olympiacos B.C.; Maroussi B.C.,True,direct,bio_name,1980.0,exact_match,exact_birth_year
P004429,"AGRAVANIS, DIMITRIS",Dimitris Agravanis,Dimitrios Agravanis,https://en.wikipedia.org/wiki/Dimitrios_Agravanis,Power forward / center,Power Forward,matched,,Dimitrios Agravanis; Greece men's national basketball team; Panathinaikos B.C.; AEK B.C.; Olympiacos B.C.,True,direct,bio_name,1994.0,exact_match,exact_birth_year
PKSF,"AGUILAR, PABLO",Pablo Aguilar,Pablo Aguilar (basketball),https://en.wikipedia.org/wiki/Pablo_Aguilar_(basketball),Power forward,Power Forward,matched,,Pablo Aguilar; Pablo Aguilar (basketball); Real Madrid Baloncesto; Valencia Basket; Spain men's national basketball team; 2014–15 Euroleague squads,False,search,bio_name,1989.0,exact_match,exact_birth_year
P005171,"AHEARN, BLAKE",Blake Ahearn,Blake Ahearn,https://en.wikipedia.org/wiki/Blake_Ahearn,Point guard,Point Guard,matched,,Blake Ahearn; NBA G League; NBA 2K; NBA 2K16; 2026–27 Chicago Bulls season,False,direct,bio_name,1984.0,exact_match,exact_birth_year
PLHF,"AJINCA, ALEXIS",Alexis Ajinca,Alexis Ajinça,https://en.wikipedia.org/wiki/Alexis_Ajinça,Center,Center,matched,,Alexis Ajinça; Melvin Ajinça; France men's national basketball team; LNB Élite; Wesley Johnson (basketball),False,direct,bio_name,1988.0,exact_match,exact_birth_year
P010316,"AJINCA, MELVIN",Melvin Ajinca,Melvin Ajinça,https://en.wikipedia.org/wiki/Melvin_Ajinça,Small forward,Small Forward,matched,,Melvin Ajinça; Alexis Ajinça; List of 2026–27 EuroLeague transactions; Ariel Hukporti; Petteri Koponen,False,direct,bio_name,2004.0,exact_match,exact_birth_year
P007647,"AKAY, MERT",Mert Akay,Mert Akay,https://en.wikipedia.org/wiki/Mert_Akay,Point guard,Point Guard,matched,,Mert Akay; Basketball League of Serbia,False,direct,bio_name,2000.0,exact_match,exact_birth_year
P011816,"AKELE, NICOLA",Nicola Akele,Nicola Akele,https://en.wikipedia.org/wiki/Nicola_Akele,Power forward / small forward,Power Forward,matched,,Nicola Akele; List of 2026–27 EuroLeague transactions; Olimpia Milano; Great Britain men's national basketball team; Lithuania men's national basketball team,True,direct,bio_name,1995.0,exact_match,exact_birth_year
P000728,"AKINDELE, JELEEL",Jeleel Akindele,Deji Akindele,https://en.wikipedia.org/wiki/Deji_Akindele,Center,Center,matched,,Deji Akindele; Lebanese Basketball League; Rosters of the top basketball teams in European club competitions; 2014–15 ACB season,False,direct,bio_name,1983.0,exact_match,exact_birth_year
PJVE,"AKIN, CAN",Can Akin,Can Akın,https://en.wikipedia.org/wiki/Can_Akın,Point guard,Point Guard,matched,,Can Akın; Fenerbahçe S.K. (women's basketball); Galatasaray S.K. (men's basketball); Didem Akın; Galatasaray S.K. women's basketball team rosters,False,direct,bio_name,1983.0,exact_match,exact_birth_year
P000645,"AKINGBALA, AKIN",Akin Akingbala,Akin Akingbala,https://en.wikipedia.org/wiki/Akin_Akingbala,Power forward / center,Power Forward,matched,,Akin Akingbala; Lynn Greer; BK Ventspils; Latvian Basketball All-Star Game; EuroCup Basketball individual statistics,True,direct,bio_name,1983.0,exact_match,exact_birth_year
P007394,"AKOGNON, JOSH",Josh Akognon,Josh Akognon,https://en.wikipedia.org/wiki/Josh_Akognon,Point guard,Point Guard,matched,,Josh Akognon; Chinese Basketball Association; Baltic Basketball League; 2016–17 Saski Baskonia season; BC Rytas,False,direct,bio_name,1986.0,exact_match,exact_birth_year
P004056,"AKPINAR, ISMET",Ismet Akpinar,İsmet Akpınar,https://en.wikipedia.org/wiki/İsmet_Akpınar,Point guard / shooting guard,Point Guard,matched,,İsmet Akpınar; Fenerbahçe S.K. (basketball); FC Bayern Munich (basketball); Bahçeşehir Koleji S.K.; BeoBasket,True,direct,bio_name,1995.0,exact_match,exact_birth_year
PBXK,"AKYOL, CENK",Cenk Akyol,Cenk Akyol,https://en.wikipedia.org/wiki/Cenk_Akyol,Shooting guard / small forward,Shooting Guard,matched,,Cenk Akyol; Galatasaray S.K. (men's basketball); Anadolu Efes S.K.; Turkey men's national basketball team; 2026–27 Anadolu Efes S.K. season,True,direct,bio_name,1987.0,exact_match,exact_birth_year
P006785,"ALBER, EIDAN",Eidan Alber,2018–19 Israeli Basketball National League,https://en.wikipedia.org/wiki/2018–19_Israeli_Basketball_National_League,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,2018–19 Israeli Basketball National League; Ironi Nahariya; List of 2020–21 EuroLeague transactions; Maccabi Tel Aviv B.C. past rosters; 2019–20 Israeli Basketball State Cup,False,search,bio_name,,unavailable,
P003425,"ALBICY, ANDREW",Andrew Albicy,Andrew Albicy,https://en.wikipedia.org/wiki/Andrew_Albicy,Point guard,Point Guard,matched,,Andrew Albicy; France men's national basketball team; 2021–22 EuroCup Basketball; Deni Avdija; EuroCup Basketball All-EuroCup Team,False,direct,bio_name,1990.0,exact_match,exact_birth_year
P003328,"ALDEMIR, FURKAN",Furkan Aldemir,Furkan Aldemir,https://en.wikipedia.org/wiki/Furkan_Aldemir,Power forward / center,Power Forward,matched,,Furkan Aldemir; Galatasaray S.K. (men's basketball); Karşıyaka Basket; Turkey men's national basketball team; 2013–14 Euroleague,True,direct,bio_name,1991.0,exact_match,exact_birth_year
PCIT,"ALEKSANDROV, NEMANJA",Nemanja Aleksandrov,Nemanja Aleksandrov,https://en.wikipedia.org/wiki/Nemanja_Aleksandrov,Power forward / small forward,Power Forward,matched,,Nemanja Aleksandrov; Basketball League of Serbia; Serbia men's national under-18 basketball team; KK FMP (1991–2011); Dragan Šakota,True,direct,bio_name,1987.0,exact_match,exact_birth_year
P001206,"ALEKSIC, VUKASIN",Vukasin Aleksic,Vukašin Aleksić,https://en.wikipedia.org/wiki/Vukašin_Aleksić,Point guard,Point Guard,matched,,Vukašin Aleksić; Rosters of the top basketball teams in European club competitions; KK Radnički Kragujevac (2009–2014); Mile Ilić; Serbia men's national under-20 basketball team,False,direct,bio_name,1985.0,exact_match,exact_birth_year
P006195,"ALEXANDER, JOE",Joe Alexander,Joe Alexander,https://en.wikipedia.org/wiki/Joe_Alexander,Power forward,Power Forward,matched,,Joe Alexander; Fenerbahçe S.K. (basketball); 50 Greatest EuroLeague Contributors (2008); Victor Alexander; Joe Ragland,False,direct,bio_name,1986.0,exact_match,exact_birth_year
P011973,"ALEXANDER, KYLE",Kyle Alexander,Kyle Alexander,https://en.wikipedia.org/wiki/Kyle_Alexander,Centre / power forward,Center,matched,,Kyle Alexander; Fenerbahçe S.K. (basketball); PBC CSKA Moscow; EuroLeague Championship Game; Kayla Alexander,True,direct,bio_name,1996.0,exact_match,exact_birth_year
PJCF,"ALIJEVAS, ROLANDAS",Rolandas Alijevas,Rolandas Alijevas,https://en.wikipedia.org/wiki/Rolandas_Alijevas,Point guard / shooting guard,Point Guard,matched,,Rolandas Alijevas; ASVEL Basket; Euroleague Basketball Next Generation Tournament; BC Šiauliai; Rosters of the top basketball teams in European club competitions,True,direct,bio_name,1985.0,exact_match,exact_birth_year
PLII,"ALLERME, CLEMENT",Clement Allerme,,,,,no_page_found,Wikipedia search returned no results,,False,,bio_name,,unavailable,
P010105,"ALMANSA, IZAN",Izan Almansa,Izan Almansa,https://en.wikipedia.org/wiki/Izan_Almansa,Center / power forward,Center,matched,,Izan Almansa; 2026 EuroLeague Final Four; List of 2025–26 EuroLeague transactions; 2026 in sports; Real Madrid Baloncesto,True,direct,bio_name,2005.0,exact_match,exact_birth_year
P002810,"ALMAZAN, PABLO",Pablo Almazan,CB San Pablo Burgos,https://en.wikipedia.org/wiki/CB_San_Pablo_Burgos,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,CB San Pablo Burgos; 2022–23 ACB season; 2019–20 ACB season; 2020–21 ACB season; 2019 FIBA Basketball World Cup squads,False,search,bio_name,,unavailable,
P010623,"ALOCEN, CARLOS",Carlos Alocen,Carlos Alocén,https://en.wikipedia.org/wiki/Carlos_Alocén,Point guard,Point Guard,matched,,Carlos Alocén; Real Madrid Baloncesto; Spain men's national basketball team; 2025–26 FC Barcelona Bàsquet season; 2019–20 Basketball Champions League,False,direct,bio_name,2000.0,exact_match,exact_birth_year
P014005,"ALSTON JR., DERRICK",Derrick Alston Jr.,Derrick Alston Jr.,https://en.wikipedia.org/wiki/Derrick_Alston_Jr.,Power forward,Power Forward,matched,,Derrick Alston Jr.; Real Madrid Baloncesto; List of 2025–26 EuroLeague transactions; 2024–25 Basketball Champions League; Bàsquet Manresa,False,direct,bio_name,1997.0,exact_match,exact_birth_year
P004992,"ALTINTIG, CAN",Can Altintig,Can Altıntığ,https://en.wikipedia.org/wiki/Can_Altıntığ,Shooting guard,Shooting Guard,matched,,Can Altıntığ; Fenerbahçe S.K. (basketball); 2014–15 Fenerbahçe S.K. (basketball) season; 2015–16 Fenerbahçe S.K. (basketball) season; Rosters of the top basketball teams in European club competitions; Fenerbahçe (men's basketball) past rosters,False,direct,bio_name,1987.0,exact_match,exact_birth_year
P002875,"ALTIT, BEN",Ben Altit,Ben Altit,https://en.wikipedia.org/wiki/Ben_Altit,Center,Center,matched,,Ben Altit; 2026–27 U-BT Cluj-Napoca season; Maccabi Tel Aviv B.C.; Rosters of the champion and finalist teams of EuroLeague; David Blatt,False,direct,bio_name,1993.0,exact_match,exact_birth_year
P012417,"ALTUNTAS, SALIH",Salih Altuntas,2023–24 Anadolu Efes S.K. season,https://en.wikipedia.org/wiki/2023–24_Anadolu_Efes_S.K._season,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,2023–24 Anadolu Efes S.K. season; 2024 Turkish Basketball Cup,False,search,bio_name,,unavailable,
PAPH,"ALVERTIS, FRAGISKOS",Fragiskos Alvertis,Fragiskos Alvertis,https://en.wikipedia.org/wiki/Fragiskos_Alvertis,Small forward,Small Forward,matched,,Fragiskos Alvertis; Greece men's national basketball team; 2007 Euroleague Final Four; EuroLeague Championship Game; Rosters of the champion and finalist teams of EuroLeague,False,direct,bio_name,1974.0,exact_match,exact_birth_year
P005059,"ALVITI, DAVIDE",Davide Alviti,Davide Alviti,https://en.wikipedia.org/wiki/Davide_Alviti,Small forward,Small Forward,matched,,Davide Alviti; 2021–22 Olimpia Milano season; List of 2021–22 EuroLeague transactions; 2019–20 Universo Treviso Basket season; Pallacanestro Varese,False,direct,bio_name,1996.0,exact_match,exact_birth_year
PCNZ,"AMAGOU, PAPE-PHILIPPE",Pape-philippe Amagou,Pape-Philippe Amagou,https://en.wikipedia.org/wiki/Pape-Philippe_Amagou,Point guard,Point Guard,matched,,Pape-Philippe Amagou; Limoges CSP; Le Mans Sarthe Basket; LNB All-Star Game; Rosters of the top basketball teams in European club competitions,False,search,bio_name,1985.0,exact_match,exact_birth_year
P008977,"AMAIZE, ROBIN",Robin Amaize,2019–20 FC Bayern Munich (basketball) season,https://en.wikipedia.org/wiki/2019–20_FC_Bayern_Munich_(basketball)_season,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,2019–20 FC Bayern Munich (basketball) season; Rostock Seawolves; List of 2019–20 EuroLeague transactions; List of 2018–19 EuroLeague transactions; 2018 BBL-Pokal,False,search,bio_name,,unavailable,
P002851,"AMATO, ANDREA",Andrea Amato,Peristeri B.C.,https://en.wikipedia.org/wiki/Peristeri_B.C.,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,Peristeri B.C.; 2016–17 Olimpia Milano season; 2015 Italian Basketball Supercup; 2016 Italian Basketball Supercup; 2016 Italian Basketball Cup,False,search,bio_name,,unavailable,
P012378,"AMINI, MOHAMMAD",Mohammad Amini,Mohammad Amini,https://en.wikipedia.org/wiki/Mohammad_Amini,Guard,,position_text_unrecognized,Could not map position text to a canonical position: 'Guard',Mohammad Amini; Iran men's national basketball team; SLUC Nancy Basket; 2023 FIBA Basketball World Cup squads; Police brutality by country; 2022,False,direct,bio_name,,unavailable,
PBZO,"ANAGONYE, ALOYSIUS",Aloysius Anagonye,Aloysius Anagonye,https://en.wikipedia.org/wiki/Aloysius_Anagonye,Power forward / center,Power Forward,matched,,Aloysius Anagonye; ABA League; Rosters of the top basketball teams in European club competitions; Metropolitans 92; Pallacanestro Don Bosco Livorno,True,direct,bio_name,1981.0,exact_match,exact_birth_year
PAKT,"ANDERSEN, DAVID",David Andersen,David Andersen,https://en.wikipedia.org/wiki/David_Andersen,Power forward / centre,Power Forward,matched,,David Andersen; Fenerbahçe S.K. (basketball); All-EuroLeague Team; PBC CSKA Moscow; EuroLeague career statistical leaders,True,direct,bio_name,1980.0,exact_match,exact_birth_year
PTGV,"ANDERSON, ALAN",Alan Anderson,Alan Anderson (basketball),https://en.wikipedia.org/wiki/Alan_Anderson_(basketball),Shooting guard / small forward,Shooting Guard,matched,,Alan Anderson; Alan Anderson (basketball); FC Barcelona Bàsquet; Maccabi Tel Aviv B.C.; EuroLeague MVP of the Month; BC Zenit Saint Petersburg,True,search,bio_name,1982.0,exact_match,exact_birth_year
P005938,"ANDERSON, JAMES",James Anderson,James Anderson (basketball),https://en.wikipedia.org/wiki/James_Anderson_(basketball),Small forward / shooting guard,Small Forward,matched,,James Anderson; James Anderson (basketball); Anderson Varejão; 2022 EuroLeague Final Four; Maccabi Tel Aviv B.C.; Alan Anderson (basketball),True,search,bio_name,1989.0,exact_match,exact_birth_year
P012795,"ANDERSON, JUSTIN",Justin Anderson,Justin Anderson (basketball),https://en.wikipedia.org/wiki/Justin_Anderson_(basketball),Small forward,Small Forward,matched,,"Justin Anderson; Justin Anderson (basketball); Dubai Basketball; Justin Robinson (basketball, born 1997); FC Barcelona Bàsquet; List of 2025–26 EuroLeague transactions",False,search,bio_name,1993.0,exact_match,exact_birth_year
P000183,"ANDERSON, LUKE",Luke Anderson,Justin Anderson (basketball),https://en.wikipedia.org/wiki/Justin_Anderson_(basketball),,,page_found_identity_mismatch,Selected page's birth year (1993) clearly differs from players_bio.csv (1982); rejected as a different person.,Big Brother (British TV series) series 13; Dubai Basketball; Justin Anderson (basketball); BC Zenit Saint Petersburg; EuroLeague MVP of the Round; Olympiacos B.C.,False,search,bio_name,1993.0,clear_mismatch,
P011248,"ANDREWS, ANDREW",Andrew Andrews,Andrew Andrews,https://en.wikipedia.org/wiki/Andrew_Andrews,Shooting guard / point guard,Shooting Guard,matched,,Andrew Andrews; 2023–24 EuroCup Basketball; 2021–22 EuroCup Basketball; EuroCup Basketball MVP of the Round; Panathinaikos B.C.,True,direct,bio_name,1993.0,exact_match,exact_birth_year
PJDQ,"ANDRIC, LUKSA",Luksa Andric,Lukša Andrić,https://en.wikipedia.org/wiki/Lukša_Andrić,Center,Center,matched,,Lukša Andrić; Galatasaray S.K. (men's basketball); KK Cedevita; Türk Telekom B.K.; Premijer liga (Croatian basketball),False,direct,bio_name,1985.0,exact_match,exact_birth_year
P002574,"ANDRIC, MIHAJLO",Mihajlo Andric,Mihajlo Andrić,https://en.wikipedia.org/wiki/Mihajlo_Andrić,Small forward / shooting guard,Small Forward,matched,,Mihajlo Andrić; Nikola Milutinov; KK Partizan; Kolossos Rodou B.C.; Promitheas Patras B.C.,True,direct,bio_name,1994.0,exact_match,exact_birth_year
P000956,"ANDJUSIC, DANILO",Danilo Andjusic,Danilo Anđušić,https://en.wikipedia.org/wiki/Danilo_Anđušić,Shooting guard,Shooting Guard,matched,,Danilo Anđušić; List of 2025–26 EuroLeague transactions; List of 2022–23 EuroLeague transactions; List of 2021–22 EuroLeague transactions; 2016–17 VTB United League,False,direct,bio_name,1991.0,exact_match,exact_birth_year
P010465,"ANGOLA, BRAIAN",Braian Angola,Braian Angola,https://en.wikipedia.org/wiki/Braian_Angola,Small forward / shooting guard,Small Forward,matched,,Braian Angola; 2025–26 EuroLeague; Galatasaray S.K. (men's basketball); 2024–25 EuroCup Basketball; List of 2025–26 EuroLeague transactions,True,direct,bio_name,1994.0,exact_match,exact_birth_year
P004327,"ANIKIIENKO, KOSTIANTYN",Kostiantyn Anikiienko,Rosters of the top basketball teams in European club competitions,https://en.wikipedia.org/wiki/Rosters_of_the_top_basketball_teams_in_European_club_competitions,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,Rosters of the top basketball teams in European club competitions,False,search,bio_name,,unavailable,
PTFN,"ANISIMOV, MICHAILIS",Michailis Anisimov,Rosters of the top basketball teams in European club competitions,https://en.wikipedia.org/wiki/Rosters_of_the_top_basketball_teams_in_European_club_competitions,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,Rosters of the top basketball teams in European club competitions; Baltic Basketball All-Star Game,False,search,bio_name,,unavailable,
P011221,"ANTETOKOUNMPO, KOSTAS",Kostas Antetokounmpo,Kostas Antetokounmpo,https://en.wikipedia.org/wiki/Kostas_Antetokounmpo,Center,Center,matched,,Kostas Antetokounmpo; Thanasis Antetokounmpo; Giannis Antetokounmpo; Fenerbahçe S.K. (basketball); Olympiacos B.C.,False,direct,bio_name,1997.0,exact_match,exact_birth_year
P007865,"ANTETOKOUNMPO, THANASIS",Thanasis Antetokounmpo,Thanasis Antetokounmpo,https://en.wikipedia.org/wiki/Thanasis_Antetokounmpo,Power forward / small forward,Power Forward,matched,,Thanasis Antetokounmpo; Kostas Antetokounmpo; Giannis Antetokounmpo; Greece men's national basketball team; Panathinaikos B.C.,True,direct,bio_name,1992.0,exact_match,exact_birth_year
PBAE,"ANTIC, PERO",Pero Antic,Pero Antić,https://en.wikipedia.org/wiki/Pero_Antić,Power forward / center,Power Forward,matched,,Pero Antić; Fenerbahçe S.K. (basketball); EuroLeague 2010–2020 All-Decade Team; Basketball League of Serbia; Olympiacos B.C.,True,direct,bio_name,1982.0,exact_match,exact_birth_year
P002026,"ANTIPOV, PAVEL",Pavel Antipov,Pavel Antipov,https://en.wikipedia.org/wiki/Pavel_Antipov,Power forward,Power Forward,matched,,Pavel Antipov; BC Zenit Saint Petersburg; BC UNICS; Rosters of the top basketball teams in European club competitions; List of 2016–17 EuroLeague transactions,False,direct,bio_name,1991.0,exact_match,exact_birth_year
P004941,"ANTONOV, SEMEN",Semen Antonov,Semyon Antonov,https://en.wikipedia.org/wiki/Semyon_Antonov,Power forward,Power Forward,matched,,Semyon Antonov; Russia men's national basketball team; Rosters of the top basketball teams in European club competitions; 2017 VTB United League Playoffs; List of 2016–17 EuroLeague transactions,False,direct,bio_name,1989.0,exact_match,exact_birth_year
P000781,"APARICIO, ANGEL",Angel Aparicio,Rosters of the top basketball teams in European club competitions,https://en.wikipedia.org/wiki/Rosters_of_the_top_basketball_teams_in_European_club_competitions,,,page_found_not_basketball_player,Wikipedia page(s) found but none identifiable as a basketball-biography page,Rosters of the top basketball teams in European club competitions; List of Spanish association football families; Real Betis; Mexico City; List of programs broadcast by Telecinco,False,search,bio_name,,unavailable,
P003945,"APIC, DRAGAN",Dragan Apic,Dragan Apić,https://en.wikipedia.org/wiki/Dragan_Apić,Center / power forward,Center,matched,,Dragan Apić; KK Crvena zvezda; 2018–19 EuroCup Basketball; 2018–19 ABA League First Division; 2017–18 KK Crvena zvezda season,True,direct,bio_name,1995.0,exact_match,exact_birth_year
PAOC,"APOSTOLIDIS, GEORGIOS",Georgios Apostolidis,Georgios Apostolidis,https://en.wikipedia.org/wiki/Georgios_Apostolidis,Shooting guard / small forward,Shooting Guard,matched,,Georgios Apostolidis; Panathinaikos B.C.; AEK B.C.; Greece men's national basketball team; PAOK BC,True,direct,bio_name,1984.0,exact_match,exact_birth_year
PTEQ,"ARADORI, PIETRO",Pietro Aradori,Pietro Aradori,https://en.wikipedia.org/wiki/Pietro_Aradori,Shooting guard / small forward,Shooting Guard,matched,,Pietro Aradori; Basketball Champions League; Italy men's national basketball team; EuroLeague MVP of the Round; 2019 Basketball Champions League Final,True,direct,bio_name,1988.0,exact_match,exact_birth_year
P003263,"ARANITOVIC, PETAR",Petar Aranitovic,Petar Aranitović,https://en.wikipedia.org/wiki/Petar_Aranitović,Point guard / shooting guard,Point Guard,matched,,Petar Aranitović; Aleksandar Aranitović; Crvena Zvezda–Partizan basketball rivalry; 2023–24 KK Partizan season; KK Crvena zvezda (youth),True,direct,bio_name,1994.0,exact_match,exact_birth_year
P004402,"ARAPOVIC, MARKO",Marko Arapovic,Marko Arapović,https://en.wikipedia.org/wiki/Marko_Arapović,Power forward / center,Power Forward,matched,,Marko Arapović; Franjo Arapović; KK Cedevita; Rosters of the champion and finalist teams of EuroLeague; Dražen Petrović,True,direct,bio_name,1996.0,exact_match,exact_birth_year
P005813,"ARAR, EGE",Ege Arar,Ege Arar,https://en.wikipedia.org/wiki/Ege_Arar,Center / power forward,Center,matched,,Ege Arar; Galatasaray S.K. (men's basketball); Galatasaray S.K. men's basketball team rosters; Turkey men's national basketball team; Turkey men's national under-20 basketball team,True,direct,bio_name,1996.0,exact_match,exact_birth_year
PKBD,"ARCHIBALD, ROBERT",Robert Archibald,Robert Archibald,https://en.wikipedia.org/wiki/Robert_Archibald,Power forward / center,Power Forward,matched,,Robert Archibald; Scotland men's national basketball team; Jake Tsakalidis; Basketball in Lithuania; Great Britain men's national basketball team,True,direct,bio_name,1980.0,exact_match,exact_birth_year
