source_file,column,description,granularity,dtype,missing_count,missing_percentage,unique_count,possible_role,preliminary_include_recommendation,reason,open_question
euroleague_players.csv,two_points_made_per_game,Per-game average of two_points_made (two_points_made / games_played),player-season-team,float64,0,0.0,501,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,two_points_attempted_per_game,Per-game average of two_points_attempted (two_points_attempted / games_played),player-season-team,float64,0,0.0,820,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,two_points_percentage,Shooting percentage for two_points_percentage,player-season-team,float64,0,0.0,479,shooting_efficiency,include,Efficiency statistic distinct from volume.,
euroleague_players.csv,three_points_made_per_game,Per-game average of three_points_made (three_points_made / games_played),player-season-team,float64,0,0.0,273,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,three_points_attempted_per_game,Per-game average of three_points_attempted (three_points_attempted / games_played),player-season-team,float64,0,0.0,630,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,three_points_percentage,Shooting percentage for three_points_percentage,player-season-team,float64,0,0.0,378,shooting_efficiency,include,Efficiency statistic distinct from volume.,
euroleague_players.csv,free_throws_made_per_game,Per-game average of free_throws_made (free_throws_made / games_played),player-season-team,float64,0,0.0,425,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,free_throws_attempted_per_game,Per-game average of free_throws_attempted (free_throws_attempted / games_played),player-season-team,float64,0,0.0,520,shooting_volume,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,free_throws_percentage,Shooting percentage for free_throws_percentage,player-season-team,float64,0,0.0,479,shooting_efficiency,include,Efficiency statistic distinct from volume.,
euroleague_players.csv,offensive_rebounds_per_game,Per-game average of offensive_rebounds (offensive_rebounds / games_played),player-season-team,float64,0,0.0,295,rebounding,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,defensive_rebounds_per_game,Per-game average of defensive_rebounds (defensive_rebounds / games_played),player-season-team,float64,0,0.0,492,rebounding,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,total_rebounds_per_game,Per-game average of total_rebounds (total_rebounds / games_played),player-season-team,float64,0,0.0,653,rebounding,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,assists_per_game,Per-game average of assists (assists / games_played),player-season-team,float64,0,0.0,540,playmaking,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,steals_per_game,Per-game average of steals (steals / games_played),player-season-team,float64,0,0.0,200,defense,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,turnovers_per_game,Per-game average of turnovers (turnovers / games_played),player-season-team,float64,0,0.0,310,playmaking,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,blocks_favour_per_game,Per-game average of blocks_favour (blocks_favour / games_played),player-season-team,float64,0,0.0,166,defense,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,blocks_against_per_game,Per-game average of blocks_against (blocks_against / games_played),player-season-team,float64,0,0.0,104,outcome_or_quality,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,fouls_committed_per_game,Per-game average of fouls_committed (fouls_committed / games_played),player-season-team,float64,0,0.0,323,defense,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,fouls_received_per_game,Per-game average of fouls_received (fouls_received / games_played),player-season-team,float64,0,0.0,511,outcome_or_quality,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,valuation_per_game,Per-game average of valuation (valuation / games_played),player-season-team,float64,0,0.0,1581,outcome_or_quality,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_players.csv,plus_minus_per_game,Per-game average of plus_minus (plus_minus / games_played),player-season-team,float64,0,0.0,1321,outcome_or_quality,include,Derived convenience field; equivalent information to the totals column plus games_played. Prefer building rate features (e.g. per-36) directly from totals in the next task.,
euroleague_points.csv,game_point_id,Unique event identifier,event,str,0,0.0,755145,identifier,exclude,Surrogate key.,
euroleague_points.csv,game_id,Game identifier,event,str,0,0.0,5039,grouping_key,exclude,Used for joins/grouping.,
euroleague_points.csv,game,Game label (teams/date text),event,str,0,0.0,1386,grouping_key,exclude,"Free text, not a statistic.",
euroleague_points.csv,round,Competition round number,event,int64,0,0.0,47,grouping_key,exclude,Scheduling context.,
euroleague_points.csv,phase,"Competition phase (regular season, playoffs, etc.)",event,str,0,0.0,7,grouping_key,exclude,"Scheduling/context, not a style statistic.",
euroleague_points.csv,season_code,"Season identifier, e.g. E2024",player-season-team,str,0,0.0,19,grouping_key,exclude,"Used for grouping/joins, not a feature value.",
euroleague_points.csv,number_of_play,Sequential play index within the game,event,int64,0,0.0,1081,grouping_key,exclude,Ordering field.,
euroleague_points.csv,team_id,Historical team identifier for that season,player-season-team,str,0,0.0,66,grouping_key,exclude,Grouping/context field; not itself a playing-style statistic.,
euroleague_points.csv,player_id,Player identifier,player-season-team,str,0,0.0,2092,identifier,exclude,"Used for joins, not a feature value.",
euroleague_points.csv,player,Player display name,player-season-team,str,0,0.0,2091,identifier,exclude,"Free text name, not a statistic.",
euroleague_points.csv,action_id,Coded action type,event,str,0,0.0,10,shot_location,include,Source for shot-type aggregation once mapped to `action`.,
euroleague_points.csv,action,"Action description (e.g. Two Pointer, Dunk)",event,str,0,0.0,8,shot_location,include,Source for shot-type distribution features.,
euroleague_points.csv,points,Points scored by this event,event,int64,0,0.0,4,shooting_volume,include,Used to aggregate scoring by shot type.,
euroleague_points.csv,coord_x,Shot X coordinate,event,int64,0,0.0,711,shot_location,include,Candidate input for shot-location-derived features; coordinate system to be confirmed.,"What is the coordinate system (units, origin, orientation)? Confirm before deriving distance/zone features."
euroleague_points.csv,coord_y,Shot Y coordinate,event,int64,0,0.0,584,shot_location,include,Candidate input for shot-location-derived features; coordinate system to be confirmed.,"What is the coordinate system (units, origin, orientation)? Confirm before deriving distance/zone features."
euroleague_points.csv,zone,Coded court zone,event,str,141019,18.6744,10,shot_location,include,Candidate categorical shot-zone feature.,Should zone be treated as ordinal (distance-based) or purely categorical in later feature engineering?
euroleague_points.csv,fastbreak,Fastbreak-event flag,event,float64,263843,34.9394,2,shot_location,include,Playing-style-relevant context flag; check missingness pattern before use.,
euroleague_points.csv,second_chance,Second-chance-event flag,event,float64,263843,34.9394,2,shot_location,include,Playing-style-relevant context flag; check missingness pattern before use.,
euroleague_points.csv,points_off_turnover,Points-off-turnover flag,event,float64,263843,34.9394,2,shot_location,include,Context flag; check missingness pattern before use.,
euroleague_points.csv,minute,Game minute of the event,event,int64,0,0.0,60,grouping_key,exclude,Timing context.,
euroleague_points.csv,console,Game clock display (MM:SS),event,str,0,0.0,602,grouping_key,exclude,"Timing context, redundant with `minute`.",
euroleague_points.csv,points_a,"Running score, team A",event,int64,0,0.0,132,outcome_or_quality,exclude,"Game-state context, not an individual statistic.",
euroleague_points.csv,points_b,"Running score, team B",event,int64,0,0.0,126,outcome_or_quality,exclude,"Game-state context, not an individual statistic.",
euroleague_points.csv,timestamp,Recorded timestamp of the event,event,str,0,0.0,455000,data_quality,exclude,Section 6.4 found a large share of 1970-01-01 placeholder values; not reliable as a date field.,Can a usable game date be derived elsewhere (game_id/game/round/season_code) instead of relying on this column?
players_bio.csv,player_id,Player identifier,player-season-team,str,0,0.0,2363,identifier,exclude,"Used for joins, not a feature value.",
players_bio.csv,code,Scraper-internal player code,player,str,0,0.0,2363,identifier,exclude,"Scraping artifact, not a statistic.",
players_bio.csv,slug_used,URL slug used to fetch the profile,player,str,0,0.0,2361,data_quality,exclude,Scraping metadata.,
players_bio.csv,competition_path,Scraped competition path metadata,player,str,0,0.0,2,data_quality,exclude,Scraping metadata.,
players_bio.csv,profile_url,EuroLeague profile URL,player,str,10,0.4232,2353,data_quality,exclude,Scraping metadata.,
players_bio.csv,first_name,Player first name,player,str,10,0.4232,1368,identifier,exclude,Free text identity field.,
players_bio.csv,last_name,Player last name,player,str,10,0.4232,2037,identifier,exclude,Free text identity field.,
players_bio.csv,height_cm,Player height in centimeters,player,float64,27,1.1426,54,physical,include,"Physical attribute, plausible clustering feature.",
players_bio.csv,position,Traditional position (Guard/Forward/Center),player,str,54,2.2852,3,traditional_label,exclude,MUST NOT be used as a clustering feature; reserved for post-hoc interpretation only.,How should discovered clusters be compared against this label without letting it leak into training?
players_bio.csv,nationality,Player nationality,player,str,10,0.4232,79,physical,exclude,"Demographic field, not a playing-style statistic.",
players_bio.csv,born,Date of birth,player,str,10,0.4232,2093,physical,exclude,Could derive age-at-season later; not itself a style feature.,
players_bio.csv,club_code,Scraped current club code,player,str,10,0.4232,68,data_quality,exclude,"Reflects club at scraping time, not historical team_id -- do not use for historical joins.",Is any current-club field needed at all for a model keyed on historical team_id?
players_bio.csv,club_name,Scraped current club name,player,str,10,0.4232,136,data_quality,exclude,"Reflects club at scraping time, not historical team_id -- do not use for historical joins.",Is any current-club field needed at all for a model keyed on historical team_id?
players_bio.csv,fetch_status,Web-scrape outcome status,player,str,0,0.0,2,data_quality,exclude,Scrape-quality flag; useful to explain missingness in other bio columns.,
