column,group,source,definition,calculation,missing_value_meaning,intended_use,eligible_for_clustering,reason
free_throws_percentage,season_totals,euroleague_players.csv,Free-throw percentage.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
offensive_rebounds,season_totals,euroleague_players.csv,Offensive rebounds.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
defensive_rebounds,season_totals,euroleague_players.csv,Defensive rebounds.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
total_rebounds,season_totals,euroleague_players.csv,Total rebounds.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
assists,season_totals,euroleague_players.csv,Assists.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
steals,season_totals,euroleague_players.csv,Steals.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
turnovers,season_totals,euroleague_players.csv,Turnovers.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
blocks_favour,season_totals,euroleague_players.csv,Blocks made by the player.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
blocks_against,season_totals,euroleague_players.csv,Times the player was blocked.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
fouls_committed,season_totals,euroleague_players.csv,Personal fouls committed.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
fouls_received,season_totals,euroleague_players.csv,Fouls drawn.,as provided,not applicable (always present),candidate volume/efficiency statistic,candidate,Season total from the source file.
points_per_36,season_totals,derived,Points per 36 minutes played.,"points / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
two_point_attempts_per_36,season_totals,derived,Two points attempted per 36 minutes played.,"two_points_attempted / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
three_point_attempts_per_36,season_totals,derived,Three points attempted per 36 minutes played.,"three_points_attempted / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
free_throw_attempts_per_36,season_totals,derived,Free throws attempted per 36 minutes played.,"free_throws_attempted / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
offensive_rebounds_per_36,season_totals,derived,Offensive rebounds per 36 minutes played.,"offensive_rebounds / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
defensive_rebounds_per_36,season_totals,derived,Defensive rebounds per 36 minutes played.,"defensive_rebounds / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
assists_per_36,season_totals,derived,Assists per 36 minutes played.,"assists / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
steals_per_36,season_totals,derived,Steals per 36 minutes played.,"steals / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
turnovers_per_36,season_totals,derived,Turnovers per 36 minutes played.,"turnovers / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
blocks_per_36,season_totals,derived,Blocks favour per 36 minutes played.,"blocks_favour / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
fouls_committed_per_36,season_totals,derived,Fouls committed per 36 minutes played.,"fouls_committed / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
fouls_received_per_36,season_totals,derived,Fouls received per 36 minutes played.,"fouls_received / minutes * 36, only where minutes > 0",minutes == 0 for this row,candidate playing-style rate feature,candidate,Calculated from totals because the provided minutes_per_game did not match minutes / games_played in 462 rows.
field_goal_attempts,shooting_mix,derived,Two-point plus three-point attempts (season totals).,two_points_attempted + three_points_attempted,not applicable,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
two_point_attempt_share,shooting_mix,derived,Share of field-goal attempts that were two-pointers.,two_points_attempted / field_goal_attempts,field_goal_attempts == 0,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
three_point_attempt_share,shooting_mix,derived,Share of field-goal attempts that were three-pointers.,three_points_attempted / field_goal_attempts,field_goal_attempts == 0,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
free_throw_attempt_rate,shooting_mix,derived,Free-throw attempts relative to field-goal attempts.,free_throws_attempted / field_goal_attempts,field_goal_attempts == 0,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
event_two_point_attempt_share,shooting_mix,derived,Share of recorded shot events that were two-point attempts.,two_point_event_count / shot_event_count,shot_event_count == 0,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
event_three_point_attempt_share,shooting_mix,derived,Share of recorded shot events that were three-point attempts.,three_point_event_count / shot_event_count,shot_event_count == 0,candidate shot-selection feature,candidate,"Undefined shares are left as NaN, not filled with zero or an average."
mean_lateral_shot_position,spatial,euroleague_points.csv (aggregated),Mean coord_x across valid field-goal attempts.,"computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
lateral_shot_position_std,spatial,euroleague_points.csv (aggregated),Standard deviation of coord_x across valid field-goal attempts.,"computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
mean_longitudinal_shot_position,spatial,euroleague_points.csv (aggregated),Mean coord_y across valid field-goal attempts.,"computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
longitudinal_shot_position_std,spatial,euroleague_points.csv (aggregated),Standard deviation of coord_y across valid field-goal attempts.,"computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
mean_raw_shot_distance,spatial,euroleague_points.csv (aggregated),"Mean distance from (0, 0) across valid field-goal attempts, raw coordinate units.","computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
median_raw_shot_distance,spatial,euroleague_points.csv (aggregated),"Median distance from (0, 0) across valid field-goal attempts, raw coordinate units.","computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
raw_shot_distance_std,spatial,euroleague_points.csv (aggregated),"Standard deviation of distance from (0, 0), raw coordinate units.","computed on valid_spatial_shot_count field-goal attempts, basket at (0, 0)","no valid spatial shots for this player-season-team, or only one shot (std only)",candidate shot-location feature,candidate,"Basket location and raw-unit distance are empirical estimates, not documented facts; see the coordinate discussion above."
zone_a_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone A.,count in zone A / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_b_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone B.,count in zone B / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_c_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone C.,count in zone C / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_d_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone D.,count in zone D / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_e_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone E.,count in zone E / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_f_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone F.,count in zone F / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_g_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone G.,count in zone G / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_h_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone H.,count in zone H / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_i_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone I.,count in zone I / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
zone_j_attempt_share,spatial,euroleague_points.csv (aggregated),Share of valid field-goal attempts recorded in zone J.,count in zone J / valid_zone_shot_count,no valid spatial shots for this player-season-team,candidate shot-location feature,candidate,"Zone boundaries are not documented; the letter is used as recorded, without an assumed name."
valuation,excluded_descriptive,euroleague_players.csv,Season total for valuation.,as provided,not applicable (always present),descriptive reference only,exclude,Mixes playing quality with playing style; not used as a clustering feature.
plus_minus,excluded_descriptive,euroleague_players.csv,Season total for plus minus.,as provided,not applicable (always present),descriptive reference only,exclude,Mixes playing quality with playing style; not used as a clustering feature.
